OD001,OR001,N001,5,100000.0
OD002,OR002,T001,10,80000.0
OD003,OR003,R001,5,95000.0
OD004,OR004,N002,5,200000.0
OD005,OR005,T002,5,90000.0
OD006,OR006,R002,5,150000.0
OD007,OR007,N003,5,110000.0
OD008,OR008,R003,5,250000.0
OD009,OR009,N004,3,135000.0
OD010,OR010,T003,10,75000.0
OD011,OR011,N005,8,85000.0
OD012,OR011,T004,5,70000.0
OD013,OR012,R004,3,180000.0
OD014,OR012,N006,2,220000.0
OD015,OR013,T005,10,85000.0
OD016,OR013,R005,3,280000.0
OD017,OR014,N007,5,95000.0
OD018,OR014,T006,8,65000.0
OD019,OR015,R006,4,160000.0
OD020,OR015,N008,3,350000.0
OD021,OR016,N001,6,100000.0
OD022,OR016,R001,4,95000.0
OD023,OR017,T001,5,80000.0
OD024,OR017,N002,2,200000.0
OD025,OR018,R002,5,150000.0
OD026,OR018,N003,7,110000.0
OD027,OR019,T002,8,90000.0
OD028,OR019,R003,3,250000.0
OD029,OR020,N004,4,135000.0
OD030,OR020,T003,6,75000.0
